iter	Passed	Remaining
407	5682	1281
408	5692	1266
409	5702	1251
410	5712	1237
411	5723	1222
412	5735	1208
413	5747	1193
414	5760	1179
415	5773	1165
416	5785	1151
417	5803	1138
418	5814	1124
419	5827	1109
420	5842	1096
421	5855	1082
422	5867	1067
423	5885	1054
424	5904	1042
425	5923	1029
426	5937	1015
427	5956	1001
428	5971	988
429	5987	974
430	6003	961
431	6016	946
432	6032	933
433	6050	920
434	6068	906
435	6080	892
436	6094	878
437	6104	864
438	6116	849
439	6128	835
440	6140	821
441	6155	807
442	6172	794
443	6184	779
444	6202	766
445	6221	753
446	6234	739
447	6250	725
448	6263	711
449	6277	697
450	6290	683
451	6301	669
452	6320	655
453	6336	642
454	6350	628
455	6362	613
456	6382	600
457	6394	586
458	6416	573
459	6436	559
460	6449	545
461	6461	531
462	6472	517
463	6485	503
464	6495	488
465	6512	475
466	6523	460
467	6543	447
468	6559	433
469	6573	419
470	6585	405
471	6597	391
472	6609	377
473	6620	363
474	6638	349
475	6649	335
476	6662	321
477	6684	307
478	6696	293
479	6714	279
480	6728	265
481	6747	251
482	6767	238
483	6780	224
484	6799	210
485	6809	196
486	6820	182
487	6834	168
488	6853	154
489	6871	140
490	6890	126
491	6904	112
492	6922	98
493	6939	84
494	6955	70
495	6969	56
496	6987	42
497	7005	28
498	7022	14
499	7035	0
