iter	Accuracy	Logloss
0	0.8415841584	0.3979942397
1	0.8688118812	0.3379808936
2	0.879950495	0.3076620196
3	0.8824257426	0.2894686142
4	0.9059405941	0.2577654961
5	0.9158415842	0.2372252965
6	0.9207920792	0.2275591935
7	0.9282178218	0.2198953723
8	0.9306930693	0.2121317646
9	0.9331683168	0.210952721
10	0.9331683168	0.2039440079
11	0.9381188119	0.1975721982
12	0.9430693069	0.1859699476
13	0.952970297	0.1771684779
14	0.9579207921	0.165304996
15	0.9653465347	0.1528310587
16	0.9628712871	0.1469333384
17	0.9715346535	0.1383098565
18	0.9727722772	0.1327333639
19	0.9727722772	0.1272370556
20	0.9764851485	0.1232647471
21	0.9752475248	0.1176614006
22	0.9752475248	0.11284154
23	0.9777227723	0.1084835317
24	0.9777227723	0.1066122999
25	0.9777227723	0.1022838838
26	0.9826732673	0.09851994845
27	0.9839108911	0.09357884851
28	0.9863861386	0.09007283012
29	0.9839108911	0.08717569974
30	0.9851485149	0.08460839904
31	0.9888613861	0.08113260552
32	0.9888613861	0.07906425589
33	0.9900990099	0.07660839345
34	0.9900990099	0.07399712931
35	0.9900990099	0.07189421607
36	0.9900990099	0.06889828597
37	0.9925742574	0.06690655132
38	0.9925742574	0.06534172285
39	0.9925742574	0.06407464849
40	0.9938118812	0.0623734918
41	0.995049505	0.06007514614
42	0.995049505	0.0581652764
43	0.9962871287	0.05540445535
44	0.9975247525	0.05386189187
45	0.9987623762	0.05189159129
46	1	0.05083785671
47	1	0.04834783195
48	1	0.04632661366
49	1	0.04557673766
50	1	0.04431117407
51	1	0.04345388224
52	1	0.04293145284
53	1	0.04248517575
54	1	0.04147173154
55	1	0.04060027623
56	1	0.03944829195
57	1	0.03868845666
58	1	0.03740316806
59	1	0.03611380983
60	1	0.03547805135
61	1	0.03492982317
62	1	0.03412765087
63	1	0.03309248934
64	1	0.03235959535
65	1	0.03140626567
66	1	0.03076712448
67	1	0.03018591428
68	1	0.0296271343
69	1	0.02889461092
70	1	0.02793150137
71	1	0.02750389883
72	1	0.02698377571
73	1	0.0261189017
74	1	0.02566954641
75	1	0.02517946168
76	1	0.02484508316
77	1	0.02436502853
78	1	0.02409166865
79	1	0.02355858831
80	1	0.02303267942
81	1	0.02268979573
82	1	0.02214603141
83	1	0.02175633742
84	1	0.02125325297
85	1	0.02088121376
86	1	0.02037164952
87	1	0.01998687499
88	1	0.01972549505
89	1	0.01936128352
90	1	0.01920211197
91	1	0.0188868695
92	1	0.01856868574
93	1	0.01838223769
94	1	0.01807725075
95	1	0.01772862378
96	1	0.01742297588
97	1	0.01721191524
98	1	0.01697161174
99	1	0.0166942011
100	1	0.01654196848
101	1	0.01631442509
102	1	0.01607603484
103	1	0.01588954312
104	1	0.01564302775
105	1	0.01519481616
106	1	0.01486772594
107	1	0.01471042633
108	1	0.01450846455
109	1	0.01428396277
110	1	0.01419285028
111	1	0.01393182207
112	1	0.01375943363
113	1	0.01350389141
114	1	0.01336423005
115	1	0.01326165105
116	1	0.01313148867
117	1	0.01302430535
118	1	0.01293788334
119	1	0.01283050764
120	1	0.01276744474
121	1	0.01262333842
122	1	0.01245782635
123	1	0.01232241758
124	1	0.01219958362
125	1	0.01210835429
126	1	0.0119673474
127	1	0.01183232459
128	1	0.01166356908
129	1	0.01161225125
130	1	0.01155764042
131	1	0.01147726503
132	1	0.01137508732
133	1	0.011222202
134	1	0.01106893662
135	1	0.01090151485
136	1	0.0108297603
137	1	0.01066694283
138	1	0.01057402922
139	1	0.01048135285
140	1	0.01038202909
141	1	0.01029470415
142	1	0.01025227273
143	1	0.01016889704
144	1	0.01006538797
145	1	0.0100047187
146	1	0.009919617436
147	1	0.009796430569
148	1	0.009706066977
149	1	0.00955557115
150	1	0.009443862603
151	1	0.009385554507
152	1	0.009323391584
153	1	0.009283262904
154	1	0.009206265506
155	1	0.009093440995
156	1	0.009026879131
157	1	0.008915554179
158	1	0.00887901063
159	1	0.008736405042
160	1	0.008680873578
161	1	0.008544285109
162	1	0.008451075837
163	1	0.008359637591
164	1	0.008270859718
165	1	0.008222588218
166	1	0.008157367163
167	1	0.008090966999
168	1	0.007989813786
169	1	0.007969689841
170	1	0.007901476751
171	1	0.007841745226
172	1	0.007807712744
173	1	0.00777241145
174	1	0.007724810945
175	1	0.007663579861
176	1	0.007601336087
177	1	0.007517833521
178	1	0.007488136244
179	1	0.007441058017
180	1	0.007371157703
181	1	0.007332571662
182	1	0.00728522787
183	1	0.007224287137
184	1	0.007155829137
185	1	0.00711225047
186	1	0.007068055101
187	1	0.007001376388
188	1	0.006986340674
189	1	0.006854320517
190	1	0.006791205689
191	1	0.006724794312
192	1	0.006699111202
193	1	0.006660608962
194	1	0.006612016423
195	1	0.006546090145
196	1	0.006506195753
197	1	0.006460419386
198	1	0.006415926584
199	1	0.00637569758
