iter	Accuracy	MultiClass
0	0.7223382046	1.839128997
1	0.7807933194	1.569825578
2	0.8239387613	1.365745167
3	0.8629088379	1.183354536
4	0.8705636743	1.053840228
5	0.8782185108	0.9531585545
6	0.8990953375	0.8530592842
7	0.9123173278	0.7792967051
8	0.9227557411	0.7167562698
9	0.9269311065	0.654538807
10	0.9345859429	0.6024070533
11	0.9429366736	0.556613654
12	0.9478079332	0.5175890408
13	0.9575504523	0.4821208192
14	0.9589422408	0.4515500211
15	0.9624217119	0.4223611575
16	0.965901183	0.3955609475
17	0.9686847599	0.3757469905
18	0.9686847599	0.3573765977
19	0.9714683368	0.3362122644
20	0.9728601253	0.3176724428
21	0.9763395964	0.3003280948
22	0.9777313848	0.2853908764
23	0.9784272791	0.2736612956
24	0.9791231733	0.260557468
25	0.9812108559	0.2519806906
26	0.9826026444	0.2422137277
27	0.9839944328	0.2309363252
28	0.9853862213	0.2206300485
29	0.9867780097	0.2119476807
30	0.9860821155	0.2063851141
31	0.9867780097	0.1983937348
32	0.9881697982	0.191306606
33	0.987473904	0.185872141
34	0.9895615866	0.1787004039
35	0.9895615866	0.1725523543
36	0.9909533751	0.1657686174
37	0.9909533751	0.1613954293
38	0.9909533751	0.1565156325
39	0.9916492693	0.1520618181
40	0.9923451635	0.1485714524
41	0.9930410578	0.1441234995
42	0.993736952	0.139170573
43	0.9944328462	0.1350622316
44	0.9951287404	0.1318932031
45	0.9958246347	0.1289394222
46	0.9951287404	0.1262669679
47	0.9951287404	0.1235023345
48	0.9958246347	0.1206845129
49	0.9958246347	0.1179113421
50	0.9965205289	0.1145142706
51	0.9958246347	0.1125143711
52	0.9965205289	0.1106846968
53	0.9965205289	0.1081282497
54	0.9979123173	0.1051630008
55	0.9972164231	0.1025969333
56	0.9986082116	0.100456413
57	0.9986082116	0.09778004051
58	0.9986082116	0.09582715974
59	0.9986082116	0.09368363436
60	0.9986082116	0.09117880379
61	0.9986082116	0.08985618427
62	0.9986082116	0.08767762314
63	0.9986082116	0.0864453193
64	0.9986082116	0.08480676745
65	0.9986082116	0.08338659575
66	0.9986082116	0.08205896429
67	0.9986082116	0.08142793851
68	0.9986082116	0.08030596622
69	0.9986082116	0.07902401026
70	0.9986082116	0.07753147877
71	0.9986082116	0.07644370337
72	0.9986082116	0.07499718185
73	0.9986082116	0.07360283965
74	0.9986082116	0.07258329876
75	0.9986082116	0.07114634982
76	0.9986082116	0.06986686266
77	0.9986082116	0.06911180213
78	0.9986082116	0.06824473233
79	0.9986082116	0.06700638125
80	0.9986082116	0.06585080672
81	0.9986082116	0.0646142714
82	0.9993041058	0.06394244402
83	0.9986082116	0.06310951801
84	0.9993041058	0.06212729054
85	0.9993041058	0.06167272835
86	0.9993041058	0.06086752725
87	0.9993041058	0.05997981507
88	0.9993041058	0.05873634588
89	0.9993041058	0.05833283214
90	0.9993041058	0.05766627153
91	0.9993041058	0.05681922822
92	0.9993041058	0.05577807868
93	0.9993041058	0.05519166122
94	0.9993041058	0.05456574293
95	0.9993041058	0.0539642472
96	0.9993041058	0.05335447966
97	0.9993041058	0.05248297132
98	0.9993041058	0.05168163005
99	0.9993041058	0.05127591297
100	0.9993041058	0.05079512307
101	0.9993041058	0.05031018134
102	0.9993041058	0.04971245518
103	0.9993041058	0.04909364067
104	0.9993041058	0.04844117082
105	0.9993041058	0.0477141219
106	0.9993041058	0.04676761508
107	0.9993041058	0.0463287311
108	0.9993041058	0.04593864446
109	0.9993041058	0.04534934408
110	0.9993041058	0.0446963433
111	0.9993041058	0.04429765567
112	1	0.04372725092
113	1	0.04311129279
114	1	0.0425642859
115	1	0.04205993886
116	1	0.04157779245
117	1	0.04088803307
118	1	0.04050159919
119	1	0.03993348007
120	1	0.03962973513
121	1	0.03930495228
122	1	0.03891137215
123	1	0.03861864126
124	1	0.03824985799
125	1	0.03787688837
126	1	0.03738621265
127	1	0.03699394922
128	1	0.03664283514
129	1	0.03635472063
130	1	0.03609776613
131	1	0.03566816538
132	1	0.03537135167
133	1	0.03476148591
134	1	0.03461196146
135	1	0.03428204722
136	1	0.0339579121
137	1	0.03357310285
138	1	0.03327489546
139	1	0.03306798331
140	1	0.03262144074
141	1	0.03226972406
142	1	0.03193837367
143	1	0.03170205357
144	1	0.03137155266
145	1	0.0311040354
146	1	0.03075172143
147	1	0.03056158386
148	1	0.03029588767
149	1	0.03008872598
150	1	0.02983314392
151	1	0.02957951035
152	1	0.02936960644
153	1	0.02904655175
154	1	0.02884065101
155	1	0.02857725639
156	1	0.02829121249
157	1	0.02796026295
158	1	0.0276647208
159	1	0.02739371006
160	1	0.02715769259
161	1	0.02688475458
162	1	0.02669094301
163	1	0.02652235834
164	1	0.02627208819
165	1	0.02613271237
166	1	0.02592029187
167	1	0.02568255685
168	1	0.02541310968
169	1	0.02527884136
170	1	0.02518253154
171	1	0.02502918973
172	1	0.02495480181
173	1	0.02473684376
174	1	0.02463159581
175	1	0.02442587558
176	1	0.02423090128
177	1	0.02408847265
178	1	0.02381776187
179	1	0.02356047819
180	1	0.02340519055
181	1	0.02323948084
182	1	0.0231669485
183	1	0.02299246791
184	1	0.02283455219
185	1	0.02267159268
186	1	0.0225654979
187	1	0.02239367459
188	1	0.02225735159
189	1	0.02210735727
190	1	0.02198007858
191	1	0.0218338671
192	1	0.02172578136
193	1	0.02156919693
194	1	0.02145611784
195	1	0.021241198
196	1	0.0210996507
197	1	0.02098627163
198	1	0.02089061485
199	1	0.02079341971
